"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Polda Sulsel peduli gempa dan tsunami Sulteng III
Link youtube : https://t.co/xubcE7C6u4 https://t.co/PCaptRARep",FALSE,0,NA,2018-10-16 04:28:28,FALSE,NA,"1052053638980558848",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","bontomatene",0,FALSE,FALSE,NA,NA
"1.200 Huntara untuk Korban Gempa dan Tsunami Sulteng https://t.co/CcRnAAYXDZ",FALSE,0,NA,2018-10-16 04:27:47,FALSE,NA,"1052053467726929922",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kabardotnews",0,FALSE,FALSE,NA,NA
"World bank berikan dana 15T untuk bantu korban gempa dan tsunami sulteng.
#01IndonesiaMaju #JKWMerahPutih… https://t.co/wxvEWlvXFu",FALSE,0,NA,2018-10-16 04:26:08,TRUE,NA,"1052053052968988672",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","90lukmana",0,FALSE,FALSE,NA,NA
"Polda Sulsel *_peduli gempa dan tsunami Sulteng III_* 

Link youtube :

&gt;&gt;https://t.co/2AAwTDrsz6 https://t.co/VXwVbH6B40",FALSE,1,NA,2018-10-16 04:23:42,FALSE,NA,"1052052440478969857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","polsek_keera_",0,FALSE,FALSE,NA,NA
"F8 Kumpulkan 1 Milyar Untuk Para Korban Gempa &amp; Tsunami Sulteng
https://t.co/H1UyCXXOgN",FALSE,0,NA,2018-10-16 04:20:26,FALSE,NA,"1052051619053940736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","inewstvmakassar",0,FALSE,FALSE,NA,NA
"Bantuan dari Developer Perumahan Griya Kenari utk korban bencana gempa &amp; tsunami Sulteng.
Bantuan diterima Tim Rela… https://t.co/Ry66FMHRk9",FALSE,3,NA,2018-10-16 04:17:35,TRUE,NA,"1052050900385034240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","indonesiaport4",1,FALSE,FALSE,NA,NA
"[PEDULI SULTENG]
.
Assalamualaikum wr,wb.
Sehubungan dengan musibah gempa bumi/tsunami yang menimpa saudara-saudara… https://t.co/86o3o3qbVo",FALSE,0,NA,2018-10-16 04:10:45,TRUE,NA,"1052049181018226688",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","sci_stiem",0,FALSE,FALSE,"119.40904","-5.12674"
"Bantuan dari PT Terminal Petikemas Indonesia utk korban gempa &amp; tsunami Sulteng.
Bantuan diterima Tim Relawan Posko… https://t.co/Zrk9EXUR5v",FALSE,4,NA,2018-10-16 04:05:52,TRUE,NA,"1052047950212284416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","indonesiaport4",1,FALSE,FALSE,NA,NA
"Polda Sulsel Peduli Gempa Dan Tsunami Sulteng III. https://t.co/AKDiNnPrhf",FALSE,0,NA,2018-10-16 04:03:56,FALSE,NA,"1052047465644474368",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","PolresWajo",0,FALSE,FALSE,NA,NA
"Bantuan dari Korps Alumni Sekolah Pelayaran Barombong (KASPB) Peduli utk korban gempa dan tsunami Sulteng.
Bantuan… https://t.co/1xIHo1YsiH",FALSE,4,NA,2018-10-16 04:03:07,TRUE,NA,"1052047258005327873",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","indonesiaport4",1,FALSE,FALSE,NA,NA
"DPR Tolak Pembentukan Tim Khusus Pemulihan Sulteng Pasca Gempa-Tsunami
https://t.co/Gd9sAdsVgT",FALSE,2,NA,2018-10-16 04:00:00,FALSE,NA,"1052046476308819969",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","okezonenews",2,FALSE,FALSE,NA,NA
"Bantu saudara kita korban gempa dan tsunami #Donggala #Palu #Sigi Sulawesi Tengah   
#PrayForPalu  #PrayForDonggala… https://t.co/9DEQRB3RJo",FALSE,0,NA,2018-10-16 03:55:08,TRUE,NA,"1052045251907637248",NA,"<a href=""http://twuffer.com"" rel=""nofollow"">Twuffer</a>","KopoBDG",2,FALSE,FALSE,NA,NA
"Taushiyah Ust Hilal di Desa Kota Pulu Kab. Sigi. 10 Oktober 2018

___
Media Center Aksi Cepat Korban Gempa Tsunami… https://t.co/z9CIXFDHVE",FALSE,0,NA,2018-10-16 03:52:47,TRUE,NA,"1052044660028235776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lazpedulidakwah",0,FALSE,FALSE,NA,NA
"Begini Konstruksi Huntara untuk Korban Gempa-Tsunami di Sulteng https://t.co/O9QyunblIf https://t.co/d8zG8C7q36",FALSE,0,NA,2018-10-16 03:50:49,FALSE,NA,"1052044165176020997",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Tandaseru_id",0,FALSE,FALSE,NA,NA
"Kadis Sosial kota Makassr, Dr.H.Mukhtar Tahir, M.Pd melakukan diskusi terkait hasil asesmen tim panti sosial marsud… https://t.co/BfKuqA0MgF",FALSE,1,NA,2018-10-16 03:48:12,TRUE,NA,"1052043506665938944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KotaSosial",0,FALSE,FALSE,NA,NA
"Polda Sulsel *_peduli gempa dan tsunami Sulteng III_ https://t.co/G5W8xmVBY0",FALSE,0,NA,2018-10-16 03:33:54,FALSE,NA,"1052039907357519872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SulselDitlantas",0,FALSE,FALSE,NA,NA
"Pemerintah Pusat mnyiapkn rancangan pmbangunan kota Palu baru, usai bencana gempa &amp; tsunami mnyerang kota d Sulteng… https://t.co/dlK7Em3y0Y",FALSE,2,NA,2018-10-16 03:30:55,TRUE,NA,"1052039155612413954",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BensRadio",2,FALSE,FALSE,NA,NA
"Tim Futsal Pelindo IV memberikan bantuan berupa 30 karton air mineral untuk korban gempa dan tsunami Sulteng. 

Ban… https://t.co/UM3wYZ5jbF",FALSE,3,NA,2018-10-16 03:29:30,TRUE,NA,"1052038800136781824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","indonesiaport4",0,FALSE,FALSE,NA,NA
"Pemerintah akan Bangun Huntara untuk Korban Gempa-Tsunami Sulteng https://t.co/nm3WEr62qe https://t.co/pGKbxwQlHU",FALSE,0,NA,2018-10-16 03:28:10,FALSE,NA,"1052038463116242945",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Tandaseru_id",0,FALSE,FALSE,NA,NA
"Direktur Operasi dan Komersial PT Pelindo IV, Riman S. Duyo sebelum kembali ke Makassar, menyempatkan diri untuk me… https://t.co/xvG84EQdCM",FALSE,3,NA,2018-10-16 03:27:02,TRUE,NA,"1052038180675903489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","indonesiaport4",0,FALSE,FALSE,NA,NA
"Tim Elshinta Peduli berada di Donggala, Sulteng untuk menyalurkan bantuan dari para pendengar Radio Elshinta. Semog… https://t.co/4CUHw5Db89",FALSE,7,NA,2018-10-16 03:23:33,TRUE,NA,"1052037302787035136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ElshintaTV",1,FALSE,FALSE,NA,NA
"Bonek Umumkan Hasil Penggalangan Dana untuk Korban Gempa dan Tsunami di Sulteng - Tribunnews https://t.co/hmhxreyII6",FALSE,9,NA,2018-10-16 03:15:04,FALSE,NA,"1052035165617238016",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","boneklegend",6,FALSE,FALSE,NA,NA
"https://t.co/QcMKSd8WM6 Berikan Program Bantuan Korban Gempa dan Tsunami di Sulawesi Tengah https://t.co/T8q8HCYj5U",FALSE,0,NA,2018-10-16 02:57:03,FALSE,NA,"1052030633889812482",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","serbapromosi",0,FALSE,FALSE,NA,NA
"PMI Berikan Layanan Mobile Clinic  Menyisir Korban Gempa Tsunami di Sulteng https://t.co/tXCrKCngUF via @News Cover Indonesia",FALSE,0,NA,2018-10-16 02:50:55,FALSE,NA,"1052029092046856192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ghaptect",0,FALSE,FALSE,NA,NA
